distance,age,jockey,trainer,speed_rating,odds,pp_start,speed1,speed2,speedf,pp_finish
800,4,120035,957712,107,4.4,6,57.89,56.68,53.78,4
800,6,142413,250678,110,13.9,2,56.81,55.99,53.92,3
800,5,152588,38601,104,11.1,1,57.72,56.59,53.64,6
800,7,122644,224590,105,3.9,7,57.02,56.25,53.7,5
800,4,102032,6363,114,3.1,5,56.28,55.82,54.15,1
800,6,123440,190204,112,9.1,3,57.37,56.5,54.01,2
800,7,163211,835,103,7.4,4,56.84,56.33,53.58,8
800,7,137099,6363,103,4.3,8,56.11,55.65,53.6,7
800,3,122587,6363,98,2.5,2,56.39,55.02,54.78,1
800,3,102369,531,90,22.7,7,56.01,54.75,54.36,4
800,3,15722,12068,85,4.7,5,54.4,54.23,54.11,7
800,3,160005,2216,84,24.1,9,56.35,55.03,54.09,8
800,3,152588,1257,89,7.4,4,55.63,54.67,54.32,5
800,3,17432,624,80,22,3,55.6,54.77,53.86,9
800,3,137099,1257,94,6.7,1,55.98,54.85,54.59,2
800,3,135108,1828,91,7.9,6,55.43,54.65,54.42,3
800,3,502,15262,87,3.1,8,55.09,54.48,54.24,6
600,5,163211,6363,89,16.2,7,58.95,57.72,54.97,9
600,6,162748,257611,95,2.7,4,58.88,57.7,55.3,4
600,9,102032,94,95,6.8,9,56.67,56.9,55.26,5
600,7,502,15262,94,7.4,2,58.92,57.61,55.25,6
600,5,3752,197412,101,6.4,3,58.85,57.6,55.6,2
600,5,1452,257611,92,5.2,6,57.2,56.72,55.12,7
600,7,153873,835,105,4.3,5,58.49,57.42,55.81,1
600,4,17432,1781,96,14.3,1,58.45,57.25,55.36,3
600,4,122644,298,91,14.2,8,57.56,56.63,55.06,8
500,2,1452,224590,74,23.3,1,59.41,56.97,55.13,2
500,2,160005,2185,62,16.4,5,58.22,55.74,54.55,6
500,2,114312,26392,67,6.3,4,59.37,56.71,54.78,5
500,2,74725,9629,38,14.6,6,59.33,56.52,53.34,8
500,2,102032,1127,37,18.4,9,57.86,55.73,53.28,9
500,2,123440,1392,67,4.4,8,57.68,55.71,54.8,4
500,2,160773,2216,40,38.8,2,57.64,54.93,53.44,7
500,2,122587,6363,81,1.7,3,58.97,56.54,55.51,1
500,2,137099,94,73,2.8,7,58.25,55.83,55.13,3
850,4,1811,531,105,9,7,53.96,53.47,54.58,3
850,4,502,1257,94,2.6,8,53.1,53.44,54.03,10
850,4,102032,946429,100,11,5,51.92,52.51,54.32,8
850,5,74725,38601,102,13.2,6,54.32,53.73,54.45,6
850,7,123440,954913,100,16.7,9,53.43,53.26,54.32,9
850,6,122644,3462,100,35.6,11,52.08,52.6,54.33,7
850,6,152588,198551,102,8.4,4,52.58,53,54.47,5
850,4,137099,272417,106,2.7,10,53.6,53.72,54.64,2
850,4,114312,277836,104,18.3,1,52.91,53.02,54.54,4
850,4,153873,3462,85,31,12,53.07,53.46,53.62,12
850,4,122587,6363,107,9,3,54.29,53.64,54.68,1
850,5,3752,218233,86,49.9,2,53.93,53.43,53.64,11
800,3,1770,835,105,1.3,3,57.28,55.67,53.61,1
800,4,160005,240902,82,22.3,1,57.84,55.92,52.5,7
800,5,16787,1257,102,7.2,5,57.67,55.84,53.49,3
800,4,113484,277836,95,3.9,7,57.11,55.31,53.12,4
800,4,102032,6363,64,12.7,6,57.32,55.58,51.64,8
800,5,137099,9629,84,11.2,8,56.2,55.33,52.61,6
800,5,74725,531,102,7.3,2,56.55,55.23,53.5,2
800,4,1452,83,94,7.4,4,57.07,55.41,53.11,5
500,2,142413,6363,41,33.3,6,58.87,57.3,54.57,8
500,2,137099,272182,69,5.9,2,59.05,57.51,56.07,3
500,2,102369,277836,55,26.2,7,58.32,57.03,55.33,7
500,2,99161,963516,37,10.6,3,59.45,57.49,54.41,9
500,2,3752,1710,17,41.1,8,57.6,56.24,53.37,10
500,2,162748,1257,60,12.3,9,57.56,56.51,55.58,5
500,2,152588,835,88,0.7,4,58.69,57.31,57.03,1
500,2,121108,240902,63,48.3,1,59.81,57.86,55.75,4
500,2,122587,6363,59,5.8,10,57.96,56.94,55.51,6
500,2,1339,94,85,27.4,5,59.41,57.68,56.85,2
800,3,1811,6363,103,7.5,4,54.71,54.94,55.09,6
800,3,137099,1257,103,2.7,6,56.11,55.48,55.08,7
800,3,123440,624,99,36.8,8,52.93,54.08,54.89,9
800,3,3752,199159,98,7.1,5,54.32,54.5,54.87,10
800,3,1339,94,105,6.6,11,53.97,54.52,55.21,4
800,3,122587,6363,95,49,10,56.32,55.74,54.71,14
800,3,160005,261904,108,11.4,2,55.76,55.3,55.36,1
800,3,122644,1710,98,30,14,53.45,54.25,54.86,12
800,3,74725,1626,104,11.9,13,55.23,55.13,55.17,5
800,3,135108,298,106,4.8,7,57.72,55.91,55.25,3
800,3,113484,277836,100,29.7,3,54.88,54.96,54.94,8
800,3,502,835,107,11,12,56.14,55.57,55.3,2
800,3,153873,2208,98,80.1,1,55.41,55.32,54.87,11
800,3,114312,38601,96,80.6,9,54.36,54.69,54.75,13
800,4,1811,240902,35,27.4,9,56.29,55.19,50.18,9
800,3,153873,9629,65,16.9,7,57.03,55.45,51.63,7
800,4,137099,218233,78,5.7,8,56.65,55.36,52.3,4
800,4,122644,830,15,30.4,10,56.12,54.77,49.22,10
800,4,74725,3794,86,6.4,4,56.82,55.47,52.64,3
800,4,163211,252990,96,2.2,5,56.86,55.74,53.15,1
800,4,160005,804,70,36.5,3,57.77,55.48,51.9,6
800,4,3752,1257,95,3.5,1,57.07,55.75,53.11,2
800,3,102032,6363,78,12.2,2,57.59,55.57,52.26,5
800,5,1452,199159,56,5.7,6,57.95,55.84,51.21,8
850,3,117931,272182,102,14.1,7,52.87,53.94,54.43,1
850,4,122644,830,91,44.9,6,53.93,53.96,53.86,8
850,3,74725,3462,100,3.6,10,53.96,54.22,54.32,2
850,3,152588,137497,83,27.7,2,53.9,54.21,53.5,11
850,3,137099,1150,98,3,3,54.46,54.24,54.21,5
850,4,16787,252990,94,7.9,12,51.54,52.38,54.04,6
850,3,502,15262,99,8.1,1,54.79,54.49,54.27,4
850,3,160005,1150,88,24.4,5,54.63,54.41,53.74,9
850,4,1811,1162,93,14,11,52.04,52.71,53.98,7
850,3,163211,835,78,18.2,4,53.57,53.61,53.24,12
850,4,102032,83,99,3.8,8,52.9,53.28,54.28,3
850,3,132248,233841,87,92.3,9,52.54,52.95,53.67,10
550,2,114312,7364,39,4,5,58.02,55.75,53.09,6
550,2,135108,1709,43,12.5,6,56.4,55.15,53.28,4
550,2,123440,261904,75,2.3,2,59.46,56.6,54.85,1
550,2,122587,6363,39,1.8,4,57.84,55.57,53.1,5
550,2,3752,214647,59,25.1,3,58.74,56.26,54.06,3
550,2,122644,1709,62,3.5,1,58.2,56,54.21,2
650,3,122587,233841,67,9.8,8,56.94,56.31,53.52,7
650,3,117931,1162,72,13.3,2,57.71,57,53.77,6
650,5,162748,835,82,8.9,1,57.5,57.02,54.24,1
650,3,160773,958040,62,80.2,6,56.9,56.22,53.23,8
650,3,1452,240902,76,4.8,4,58.1,57.28,53.92,4
650,4,114312,26392,72,1.4,5,57.46,56.92,53.77,5
650,5,163211,3794,82,5.6,7,57.68,57.3,54.23,2
650,3,74725,38601,78,4.7,3,58.06,57.32,54.05,3
500,4,74725,1257,90,3.9,3,56.86,57.72,57.45,4
500,5,1811,2194,87,21.2,10,54.67,56.52,57.29,8
500,4,142413,6363,90,5.3,5,56.3,57.43,57.46,3
500,5,163211,298,90,18.4,9,55.54,56.96,57.43,5
500,4,122644,1032,79,13.6,12,55.19,56.7,56.9,11
500,3,16787,37522,83,9.8,7,56.34,57.42,57.08,10
500,4,102032,218233,83,20,11,55.57,56.98,57.08,9
500,4,1339,164120,89,7.5,6,55.92,57.15,57.41,6
500,5,135108,46079,76,37,8,56.27,57.33,56.74,12
500,5,102369,277836,88,3.7,4,57.42,58,57.34,7
500,3,152588,1257,94,23.5,1,56.69,57.7,57.67,1
500,4,137099,6363,91,7,2,57.38,57.98,57.53,2
700,3,163211,946559,36,57.7,9,55.53,55.25,51.85,9
700,3,120035,247560,54,22.9,4,58.6,57.46,52.72,8
700,4,99161,958040,60,40.7,1,59.03,57.76,53.03,7
700,3,142413,94,64,6.1,5,57.85,57.44,53.21,5
700,4,153873,37522,64,5.1,8,58.57,57.48,53.21,6
700,4,137099,218233,67,3.6,2,59,57.74,53.36,4
700,4,74725,1257,84,1,3,58.96,57.65,54.18,1
700,5,135108,1828,69,14.4,7,57.5,57.18,53.48,3
700,3,122587,233841,75,38.6,6,56.78,56.83,53.78,2
550,3,122644,1709,61,16.6,7,60.09,57.39,54.22,12
550,3,16787,1257,79,9.7,9,60.27,57.4,55.14,5
550,3,161943,830,75,83.8,11,58.34,56.31,54.96,7
550,3,163211,1078,66,4.5,10,57.79,56.03,54.47,10
550,3,132248,243304,75,47.3,3,59.47,57.13,54.93,8
550,3,162748,1626,64,7.9,12,57.75,56.13,54.41,11
550,3,137099,6363,76,3.9,8,57.57,56.05,54.99,6
550,3,17432,2194,85,6.8,6,58.16,56.57,55.43,2
550,3,99161,2161,85,8.9,5,59.51,57.3,55.47,1
550,3,1452,257611,69,8.1,1,59.54,57.04,54.63,9
550,3,160005,6363,84,7.9,2,59.11,57,55.42,3
550,3,160773,241686,84,17,4,59.07,57.02,55.42,4
900,3,123440,3462,103,8.7,6,52.5,53.83,54.92,5
900,3,135108,489,108,2.8,9,55.42,55.05,55.2,1
900,3,102369,233841,91,67.1,3,56.65,54.96,54.31,11
900,3,502,277836,105,3.6,11,54.04,54.41,55.03,4
900,3,142413,3462,101,47.8,12,53.18,53.81,54.84,6
900,3,137099,272182,97,2.2,2,54.39,54.43,54.64,8
900,3,163211,835,100,23.4,5,54.21,54.33,54.75,7
900,3,3752,281368,92,28.5,8,55.45,54.78,54.36,10
900,3,122644,277836,91,22.3,7,55.24,54.6,54.3,12
900,3,16787,37522,107,31,10,54.56,54.76,55.12,2
900,3,1339,453,106,23.4,4,53.7,54.16,55.07,3
900,3,122587,6363,94,12.6,1,56.31,54.95,54.47,9
650,3,152588,272417,97,10.4,5,56.47,57.21,55.76,3
650,3,102032,1709,95,4.1,1,59.19,58.29,55.62,4
650,3,137099,272182,103,0.5,3,59.16,58.27,56.03,1
650,3,502,94,76,7.7,4,58.26,57.57,54.68,5
650,3,3752,26392,103,7.3,2,58.62,58.01,56.02,2
650,3,1813,18447,71,28.7,6,55.39,56.33,54.4,6
800,4,123440,778,77,9.8,7,57.72,56.52,54.05,10
800,3,122644,252990,82,5.9,10,57.02,56.01,54.28,6
800,3,114312,38601,79,26.7,8,56.98,55.73,54.16,9
800,3,74725,518,71,26.1,12,53.1,54.58,53.74,11
800,3,137099,137497,89,6.6,4,57.19,56.09,54.65,1
800,3,153873,531,83,5.8,3,56.42,55.65,54.32,5
800,3,502,804,80,36.2,5,56.25,55.54,54.2,8
800,3,160773,153785,83,70.6,9,53.8,54.24,54.35,3
800,3,1811,588,81,10.6,1,56.46,55.29,54.24,7
800,3,142413,218233,57,101.6,2,56.63,55.75,53.06,12
800,4,122587,6363,89,5.3,11,55.02,55.27,54.64,2
800,3,152588,115616,83,2.2,6,56.07,55.56,54.34,4
800,6,120035,960141,87,21.7,4,54.62,54.7,52.85,6
800,6,3752,298,102,3.3,6,54.11,54.19,53.56,3
800,9,9631,281232,98,6,3,56.51,55.56,53.35,4
800,4,74725,1626,91,3.6,1,56.34,55.54,53.05,5
800,6,137099,6363,106,2.5,2,55.99,55.37,53.77,1
800,8,122587,835,106,2.6,5,55.31,55.12,53.76,2
650,5,160773,1236,87,51.9,12,54.96,55.58,54.55,4
650,5,135108,247560,78,25.1,11,56.24,55.92,54.06,9
650,4,161943,1902,75,13.8,4,57.71,56.46,53.94,10
650,8,1811,240902,82,4.5,1,59.03,57.37,54.27,6
650,5,74725,224590,78,7.3,6,58.28,57.18,54.09,8
650,4,123440,190204,88,5.1,3,57.89,56.74,54.57,3
650,6,113484,1271,65,15,5,57.35,56.55,53.42,12
650,5,160005,804,80,3.4,9,58.32,57.09,54.16,7
650,4,114312,11761,67,61.1,7,57.92,56.72,53.53,11
650,5,99161,958826,97,7,2,57.32,57.19,55.01,1
650,6,163211,38601,83,7.4,10,55.49,56.01,54.32,5
650,4,132248,216647,94,18.8,8,55.53,56.03,54.91,2
500,3,160005,218233,81,35.1,5,56.07,56.09,56.6,8
500,3,163211,2208,75,17.3,12,55.72,56.07,56.3,10
500,3,122587,6363,98,1.8,2,57.97,57.43,57.5,1
500,6,135108,2208,94,27.3,8,56.25,56.8,57.29,3
500,3,102032,6363,97,6.8,3,57.16,56.99,57.43,2
500,4,137099,218233,87,2.8,7,57.94,57.25,56.94,4
500,5,102369,18876,81,36.3,9,57.76,57.17,56.58,9
500,3,74725,7364,83,9.8,11,54.67,55.72,56.73,7
500,3,161943,18876,52,76.1,6,57.73,56.63,55.09,12
500,3,1452,260,85,10.6,4,57.13,56.98,56.83,5
500,5,160773,19640,84,13.2,10,56.78,56.44,56.76,6
500,4,3752,11761,54,24.6,1,57.69,56.61,55.19,11
550,4,117931,830,70,19.5,10,56.82,55.73,54.65,5
550,4,162748,6363,78,3.4,6,57.96,56.35,55.04,2
550,3,1452,257611,71,8.2,1,57.93,56.16,54.71,4
550,4,123440,261904,59,11.5,7,58.93,56.62,54.06,8
550,3,74725,1257,48,4.3,2,58.86,56.61,53.53,11
550,3,113484,1271,50,53.2,11,53.07,53.58,53.62,10
550,4,163211,3794,75,3.4,4,57.75,56.18,54.9,3
550,4,102032,622,67,15.8,5,58.89,56.73,54.49,7
550,3,135108,1828,67,27.6,8,56.64,55.56,54.49,6
550,3,3752,11761,58,13.9,9,56.86,55.3,54.05,9
550,3,160005,804,86,6.5,3,58.32,56.71,55.45,1
850,3,122644,531,86,54.8,9,51.05,51.12,53.53,3
850,3,102032,6363,87,2.9,6,51.62,51.37,53.56,2
850,3,162748,1257,81,8,11,50.39,50.79,53.27,8
850,3,16787,38392,83,17.1,3,51.08,50.95,53.35,6
850,3,137099,94,81,4.7,5,52.09,51.62,53.26,9
850,3,135108,277836,86,6.7,10,51.43,51.2,53.5,4
850,3,153873,199159,80,41,4,51.11,51.36,53.24,10
850,3,1339,3794,83,3,7,50.86,51.04,53.39,5
850,3,1770,137497,78,8.3,8,50.89,51.03,53.14,11
850,3,74725,12068,87,36.3,1,51.78,51.54,53.57,1
850,3,502,804,81,23.7,2,51.59,51.53,53.3,7
500,2,163211,3794,50,31.6,5,57.18,55.84,54.31,8
500,2,135108,1709,52,18.8,9,56.47,55.41,54.42,7
500,2,1452,197412,62,9.8,4,58.2,56.54,54.93,4
500,2,74725,2185,41,10.1,10,56.65,55.67,53.87,10
500,2,102032,6363,60,3,6,57.6,56.27,54.85,6
500,2,114312,26392,47,13.9,8,57.53,56.1,54.17,9
500,2,161943,1902,64,33.7,1,58.17,56.56,55.07,3
500,2,3752,1710,69,5,2,58.13,56.66,55.3,2
500,2,122644,963516,83,1.7,7,57.95,56.65,56.02,1
500,2,99161,118836,62,19.3,3,57.57,56.29,54.92,5
850,4,137099,1150,108,2.4,6,55.29,55.31,55.13,6
850,6,16787,37522,105,13.1,10,50.17,52.61,54.99,10
850,4,502,94,106,3.4,7,52.73,53.62,55.03,9
850,5,102032,6363,107,15.6,8,51.02,52.69,55.09,7
850,4,152588,1493,110,5.1,1,54.44,55.06,55.25,4
850,4,135108,277836,109,13.9,5,53.41,54.13,55.19,5
850,4,1811,38392,112,28.8,2,54.78,54.63,55.35,2
850,6,15722,137497,106,37.8,9,51.88,53.28,55.05,8
850,5,1339,94,111,7.2,4,54.27,54.46,55.27,3
850,4,102369,298,115,6.7,3,56.31,55.73,55.49,1
550,2,114312,7364,42,19.7,9,56.9,55.09,53.17,7
550,2,162748,835,70,2.3,7,58.72,56.34,54.56,2
550,2,502,15262,73,1.9,3,58.15,55.98,54.72,1
550,2,1339,149624,48,3.9,5,58.68,56.17,53.45,6
550,2,160773,2216,23,47.3,6,57.44,55.3,52.25,10
550,2,120035,2208,34,28.3,10,54.7,54.05,52.75,9
550,2,99161,19640,36,36.2,8,56.87,55.07,52.87,8
550,2,3752,1739,53,15.7,4,56.83,55.13,53.69,4
550,2,74725,38601,59,7.4,1,58.51,56.15,54.02,3
550,2,113484,15262,51,31.6,2,57.26,55.11,53.63,5
600,3,1811,2161,85,3.1,6,58.89,57.34,55.05,2
600,3,122644,1709,80,28,7,57.71,56.62,54.8,3
600,4,142413,953963,75,20.7,3,57.75,56.36,54.54,5
600,3,74725,3462,77,3.6,5,58.5,56.99,54.69,4
600,3,122587,531,65,7.4,2,58.46,56.73,54.07,6
600,4,135108,1828,49,14.2,1,58.93,56.64,53.23,7
600,3,163211,38601,94,1.1,4,58.86,57.35,55.53,1
650,4,160005,804,69,4.2,7,57.61,56.54,53.87,8
650,3,161943,135700,82,46.2,8,56.39,55.85,54.51,2
650,3,1339,149624,73,4.6,6,57.72,56.9,54.07,6
650,3,123440,954913,88,3.3,4,57.89,56.92,54.8,1
650,6,121108,2091,71,5.4,5,57.68,56.89,53.94,7
650,4,99161,1162,79,19.2,2,57.09,56.28,54.36,3
650,3,9631,2926,76,11.9,3,56.35,55.68,54.19,5
650,6,163211,197412,79,2.5,1,57.65,56.8,54.35,4
650,7,163211,947429,93,17.3,6,57.65,57.77,55.21,7
650,5,102032,199159,99,13.9,7,57.44,57.75,55.53,5
650,5,114312,1257,106,3.6,4,58.25,58.23,55.87,3
650,5,1452,257611,104,12,5,58.01,58.05,55.77,4
650,5,502,298,106,5.7,1,57.62,57.66,55.88,2
650,5,3752,1626,107,1.2,3,58.22,58.03,55.93,1
650,3,137099,835,96,4.8,2,58.18,57.94,55.37,6
800,5,74725,3462,103,12.9,5,55.05,55.36,55.53,2
800,6,16787,1626,96,8.3,6,56.11,55.61,55.2,8
800,4,15722,234680,103,21.3,4,55.74,55.53,55.53,3
800,5,163211,835,94,32.3,8,53.99,55.07,55.09,9
800,5,153873,37522,97,53.9,10,54.02,55.09,55.26,7
800,4,137099,835,106,0.7,7,55.77,55.63,55.72,1
800,6,152588,1127,98,9.1,1,56.63,55.88,55.31,5
800,5,122644,277836,92,7.1,2,56.28,55.8,54.97,10
800,5,1811,531,102,16.2,3,53.3,54.65,55.48,4
800,5,102032,1902,98,19.3,9,54.53,55.11,55.27,6
500,2,163211,94,64,19.7,9,56.65,54.48,54.75,5
500,2,114312,26392,52,1.3,2,60.19,57.09,54.13,7
500,2,102369,963516,78,2.6,3,60.16,57.11,55.46,3
500,2,162748,1257,78,7.3,1,59.61,56.92,55.45,4
500,2,142413,6363,49,14.8,6,57.75,55.17,53.99,8
500,2,137099,6363,80,11.5,5,57.78,55.51,55.58,1
500,2,502,15262,47,29,4,55.92,53.87,53.89,9
500,2,121108,15262,52,62.1,8,55.56,53.96,54.14,6
500,2,74725,1078,78,6.4,7,57.2,55.53,55.48,2
800,4,1339,94,93,9.1,1,57.47,56.76,55.02,7
800,5,3752,3794,93,21,3,53.53,55.37,54.98,8
800,4,74725,2194,100,7.8,4,56.14,55.88,55.33,2
800,4,137099,94,98,2,2,57.12,56.5,55.26,5
800,4,102032,489,99,3.5,5,56.73,56.16,55.31,3
800,4,1811,298,99,16.5,12,55.1,55.63,55.31,4
800,4,152588,1150,93,25.1,6,56.7,56.33,54.98,9
800,5,122644,190204,90,46.6,10,54.4,55.45,54.85,10
800,4,153873,199159,101,10.9,11,55.45,55.71,55.4,1
800,4,15722,207791,86,79.2,8,56.18,56.06,54.66,11
800,4,502,37522,98,6,9,55.97,56.07,55.26,6
800,4,160005,241686,77,44.3,7,57.08,56.68,54.2,12
850,4,152588,1626,118,1.3,5,57.22,55.93,54.49,1
850,5,122644,83,107,2.6,3,56.87,55.85,53.96,2
850,4,160773,94,104,6,1,56.7,55.68,53.81,4
850,4,137099,83,105,2.9,2,56,55.32,53.83,3
850,5,1452,257611,57,10.2,4,55.83,55.66,51.48,5
800,3,122644,277836,92,8.6,2,57.21,55.74,54.97,12
800,3,502,94,104,2.5,1,57.59,56.08,55.6,3
800,3,135108,94,103,28.2,5,56.68,55.48,55.52,5
800,3,1770,277836,98,6.6,9,57.24,55.91,55.28,9
800,3,160005,531,103,72.9,10,56.33,55.23,55.53,4
800,3,102032,94,95,46.9,4,57.03,55.66,55.11,11
800,3,152588,137497,101,10.1,13,54.9,54.37,55.42,6
800,3,137099,272182,100,8.5,11,55.28,54.63,55.38,7
800,3,74725,1257,105,5.9,3,57.77,56.34,55.64,1
800,3,16787,37522,90,44.2,12,55.25,54.55,54.86,13
800,3,1811,954913,96,30.2,6,55.81,55.14,55.16,10
800,3,3752,26392,100,25.9,8,55.63,54.8,55.37,8
800,3,1339,199159,105,5,7,56.16,55.06,55.61,2
500,2,160773,245408,38,65.6,2,57.23,55.03,53.59,10
500,2,74725,199159,80,17.8,1,58.52,57.11,55.76,3
500,2,99161,963516,60,16.7,10,56.63,55.29,54.72,9
500,2,163211,835,86,4.8,6,57.06,55.98,56.06,2
500,2,3752,15262,66,24.3,4,56.98,55.72,55.01,6
500,2,135108,298,64,43.8,7,57.02,55.9,54.93,8
500,2,502,15262,80,5.1,3,57.99,56.94,55.72,4
500,2,102032,6363,64,11.2,9,57.95,56.68,54.94,7
500,2,142413,6363,75,27.1,5,59.06,57.37,55.49,5
500,2,152588,835,91,0.8,8,58.88,57.39,56.3,1
850,3,152588,1493,93,3.7,3,56.77,55.58,54.4,3
850,4,121108,622,83,80.2,8,52.96,53.37,53.87,9
850,3,134563,126922,91,62.6,9,55.73,55.07,54.26,6
850,4,122587,1271,80,11.8,2,56.95,55.6,53.74,10
850,3,74725,1150,91,14,7,54.18,54.05,54.3,5
850,3,163211,38392,86,45.4,6,54.87,54.38,54.05,8
850,3,137099,1150,92,4.9,10,56.25,55.06,54.34,4
850,3,102032,277836,98,2.8,5,55.21,54.72,54.64,1
850,3,1339,164120,96,4.2,1,57.12,55.61,54.53,2
850,3,160773,3462,0,19.5,11,57.12,55.61,54.64,11
850,3,122644,272182,87,8.1,4,56.43,55.24,54.07,7
600,3,161943,267241,69,96.3,6,57.46,56.42,54.25,7
600,3,74725,518,86,35.8,7,55.3,55.81,55.1,4
600,3,122644,83,101,0.5,4,59.1,57.3,55.89,2
600,3,114312,26392,102,2.9,1,58.53,57.03,55.95,1
600,4,135108,3794,83,13.1,5,58.92,57.11,54.95,6
600,3,117931,83,85,22.1,3,58.89,56.77,55.04,5
600,4,102032,277836,91,5.8,2,59.14,57.29,55.35,3
800,6,502,5467,105,6.9,4,56.14,56.1,55.75,6
800,6,1452,257611,103,3.7,2,58.15,57.16,55.66,7
800,4,137099,12068,105,5.7,1,57.59,56.81,55.77,4
800,6,114312,26392,106,27.8,3,56.17,56.45,55.81,3
800,5,99161,19640,103,72.1,6,56.7,56.73,55.65,8
800,6,74725,1626,105,1.4,5,58.33,57.53,55.76,5
800,4,3752,281368,106,10.3,8,58.12,57.51,55.82,2
800,6,135108,5467,110,5.4,7,56.88,56.71,55.99,1
700,3,122644,38601,62,4.5,2,58.31,57.83,53.3,6
700,3,137099,94,82,5.6,3,57.88,57.74,54.27,5
700,3,162748,1257,83,1.2,5,58.48,58.11,54.34,4
700,3,102032,3794,60,12.4,6,57.35,57.2,53.2,7
700,3,135108,277836,89,9.5,7,57.53,57.72,54.65,2
700,3,163211,835,90,4.4,1,58.27,58.09,54.7,1
700,3,502,15262,85,20.6,4,57.92,57.92,54.44,3
500,4,502,240902,93,5.1,7,58.36,57.97,57.86,5
500,4,137099,272417,97,3.7,11,57.93,57.69,58.04,2
500,5,153873,1626,94,5.6,2,58.87,58.24,57.9,4
500,3,122644,38601,74,3.2,8,59.23,58.52,56.86,12
500,5,102369,23603,85,33.8,10,58.4,57.51,57.43,8
500,4,1811,2091,85,55.6,6,58.29,57.79,57.43,7
500,3,1452,1032,90,6.4,5,58.79,58.26,57.69,6
500,3,74725,137,85,26.6,4,57.39,57.33,57.42,9
500,3,160005,1257,81,10.8,3,58.33,57.7,57.21,10
500,4,3752,1710,78,47.4,12,58.43,58.06,57.04,11
500,4,163211,1626,98,74,1,59.41,58.72,58.11,1
500,4,152588,252990,95,10,9,58.83,58.54,57.97,3
500,2,163211,298,50,14.2,9,55.31,53.73,53.5,7
500,2,123440,190204,0,37.8,8,56.55,53.98,50.36,10
500,2,153873,2195,74,2.5,1,58.37,55.44,54.66,1
500,2,160773,2216,8,29.9,10,54.24,52.88,51.38,9
500,2,117931,958826,54,6.3,7,57.66,54.83,53.7,6
500,2,135108,1709,42,8.8,2,58.73,55.27,53.07,8
500,2,99161,21586,61,6.3,3,58.8,55.86,54.03,5
500,2,114312,243304,64,33.9,5,58.76,55.78,54.2,4
500,2,17432,94,67,4.9,4,57.62,55.25,54.33,3
500,2,161943,1392,68,3.8,6,56.91,54.91,54.36,2
800,5,160005,120430,101,61.6,6,56.64,56.86,55.59,10
800,7,17432,624,99,35.5,9,56.67,57.03,55.49,11
800,4,74725,1626,110,19,4,57.78,57.47,56.06,7
800,4,502,247740,109,13.9,10,55.16,55.98,56,8
800,5,135108,277836,112,5.1,7,55.74,56.42,56.19,6
800,4,113484,281232,106,23.4,3,59.04,57.64,55.87,9
800,4,102032,239418,113,3.9,12,53.73,55.1,56.24,4
800,4,152588,835,113,6.2,11,54.63,55.89,56.23,5
800,6,122644,1257,81,2.9,2,59.22,57.82,54.59,12
800,6,1339,804,115,10.4,8,55.2,56.24,56.31,3
800,4,1811,272417,116,29.4,5,56.1,56.77,56.4,1
800,5,137099,1150,116,8.4,1,57.75,57.21,56.4,2
600,2,1811,2161,55,24.1,2,59.57,57.03,53.52,4
600,2,152588,83,102,0.6,1,59.39,57.29,55.95,1
600,2,153873,2195,45,53.3,6,53.61,53.99,53.01,5
600,2,102032,2161,44,18.2,3,58.84,56.6,52.95,6
600,2,163211,252990,77,6.5,4,58.66,57.12,54.67,3
600,2,137099,1150,88,2,5,57.94,56.86,55.21,2
900,4,85790,951459,118,8,6,54.91,54.9,55.74,7
900,5,102032,94,120,12.4,10,52.68,53.96,55.8,6
900,4,1339,277836,122,8.2,3,54.03,54.46,55.92,4
900,4,1811,38601,123,3.1,8,55.41,55.24,55.98,2
900,5,152588,1626,124,21,5,54.06,54.55,56,1
900,6,137099,277836,112,3.3,2,54.4,54.8,55.4,10
900,4,1452,1257,120,15.3,1,55.07,55.15,55.8,5
900,6,74725,3462,113,4.8,4,54.57,54.88,55.47,9
900,5,502,37522,123,9.7,7,55.58,55.4,55.97,3
900,4,122644,277836,116,20.6,9,52.51,53.71,55.61,8
800,4,9631,250678,72,5.2,7,55.12,54.3,52.21,7
800,6,135108,1032,43,11.9,6,54.14,54.12,50.81,9
800,5,113484,298,75,9.7,4,55.63,54.61,52.37,5
800,6,3752,281232,81,5.5,2,54.21,54.13,52.66,2
800,5,160005,2208,77,5.7,1,55.09,54.6,52.44,4
800,7,162748,199159,87,2,8,54.92,54.58,52.93,1
800,7,114312,41604,67,27.9,5,54.18,54.1,51.96,8
800,6,163211,298,77,6.2,3,54.88,54.56,52.45,3
800,4,160773,19640,73,19,9,54.72,54.55,52.25,6
