trainer_name,t_starts,t_first,t_second,t_third,t_total_win_amt,t_win_perc,t_top_3
Adam Kitchingman,5,0,1,0,11490,0,0.2
Aggie Ordonez,1,0,0,0,3720,0,0
Alfredo Marquez,4,0,0,1,3435,0,0.25
Andrew Lerner,4,2,0,1,45465,0.5,0.75
Andy Mathis,17,1,1,1,41315,0.06,0.18
Anthony Saavedra,2,0,0,0,690,0,0
Antonio Garcia,5,0,0,0,1725,0,0
Ari Herbertson,7,0,0,0,3630,0,0
Art Sherman,10,0,1,0,15360,0,0.1
Ben Cecil,4,0,1,1,31385,0,0.5
Bill McLean,10,0,0,2,14835,0,0.2
Blaine Wright,1,0,0,0,345,0,0
Blake Heap,4,0,2,0,31965,0,0.5
Bob Baffert,15,3,3,3,223670,0.2,0.6
Brian Koriner,17,3,1,1,193260,0.18,0.29
Bruce Headley,4,0,0,0,2235,0,0
Carla Gaines,7,0,2,0,25725,0,0.29
Charles Stutts,1,0,0,0,345,0,0
Charles Treece,7,0,0,0,3920,0,0
Clifford Sise,4,0,0,0,6225,0,0
Craig Lewis,5,0,2,0,16835,0,0.4
Craig Dollase,3,0,1,2,19360,0,1
Dan Blacker,7,1,2,1,83195,0.14,0.57
Dan Hendricks,3,0,1,0,12690,0,0.33
Daniel Dunham,1,0,0,0,345,0,0
David Bernstein,1,0,0,0,345,0,0
David Hofmans,7,0,1,0,14125,0,0.14
David Jacobson,12,0,1,2,26080,0,0.25
Dean Greenman,1,0,0,0,345,0,0
Dean Pederson,3,0,0,0,9690,0,0
Derek Meredith,2,0,0,0,1545,0,0
Doug O'Neill,51,9,9,5,435875,0.18,0.45
Ed Moger,8,2,0,1,39590,0.25,0.38
Eddie Truman,4,0,0,1,8570,0,0.25
Edward Freeman,4,2,1,0,106800,0.5,0.75
Elmer January,1,0,0,0,345,0,0
Enebish Ganbat,4,0,1,1,17030,0,0.5
Eoin Harty,5,1,0,0,41130,0.2,0.2
G Almeida,2,0,0,1,4425,0,0.5
Gary Mandella,1,0,0,0,1200,0,0
Gary Sherlock,10,0,2,1,51546,0,0.3
Gary Stute,6,0,0,3,13275,0,0.5
Genaro Vallejo,4,0,0,0,1380,0,0
George Papaprodromou,8,0,1,0,9165,0,0.13
Gerard Piccioni,1,0,1,0,4000,0,1
Gus Headley,3,0,1,1,7465,0,0.67
Hector Palma,11,1,2,1,56940,0.09,0.36
Howard Zucker,2,0,0,0,690,0,0
Ian Kruljac,5,2,0,1,28890,0.4,0.6
Ian Wilkes,1,0,0,0,345,0,0
Isidro Tamayo,1,0,0,0,345,0,0
J Buenaventura,2,0,0,0,745,0,0
J Kruljac,10,1,0,2,24910,0.1,0.3
J Desormeaux,17,1,0,5,58935,0.06,0.35
Jack Carava,14,1,3,0,49315,0.07,0.29
James Cassidy,18,0,2,3,106055,0,0.28
James DiVito,4,1,0,1,44130,0.25,0.5
Jamey Thomas,1,0,0,0,345,0,0
Javier Sierra,4,0,1,0,7330,0,0.25
Jeff Bonde,11,1,1,3,52740,0.09,0.45
Jeff Mullins,18,2,2,0,105130,0.11,0.22
Jeffrey Metz,4,0,0,0,1380,0,0
Jerry Hollendorfer,39,10,8,1,555914,0.26,0.49
Joe Herrick,1,0,0,0,345,0,0
John Shirreffs,8,1,1,1,48675,0.13,0.38
John Martin,6,1,0,1,28455,0.17,0.33
John Murtagh,1,0,0,0,345,0,0
John Sadler,24,5,1,1,449379,0.21,0.29
Jonathan Wong,3,2,1,0,50400,0.67,1
Jorge Gutierrez,1,0,0,1,7200,0,1
Jorge Periban,3,0,0,0,6690,0,0
Jose Lozano Sanchez,2,0,1,0,6745,0,0.5
Karen Headley,3,0,0,1,7890,0,0.33
Kathy Walsh,1,0,1,0,5200,0,1
Kelly Castaneda,2,0,1,0,4345,0,0.5
Kenneth Black,6,0,0,0,7725,0,0
Kenneth Nettles,2,0,0,0,690,0,0
Kristin Mulhall,5,0,2,1,23065,0,0.6
Leonard Powell,5,1,0,1,69075,0.2,0.4
Librado Barocio,2,0,0,0,690,0,0
Lloyd Wicker,1,0,0,1,3600,0,1
Lorenzo Ruiz,1,0,0,0,345,0,0
Louis Bradvica,1,0,0,0,345,0,0
Luis Mendez,6,1,0,1,42540,0.17,0.33
Marcelo Polanco,2,0,0,0,745,0,0
Marcia Stortz,1,0,0,0,1200,0,0
Mark Glatt,24,2,4,4,179100,0.08,0.42
Marsha Schwizer,1,0,0,0,2100,0,0
Martin Jones,2,0,0,0,3945,0,0
Martin Valenzuela III,1,0,0,0,3600,0,0
Martine Bellocq,1,0,0,1,2400,0,1
Matthew Chew,10,1,5,0,81380,0.1,0.6
Michael Machowsky,10,0,0,2,16002,0,0.2
Michael Pender,10,0,0,0,9682,0,0
Michael McCarthy,10,2,0,3,59820,0.2,0.5
Michele Dollase,2,0,0,0,1045,0,0
Mick Ruis,6,1,0,1,38955,0.17,0.33
Mike Harrington,1,0,0,0,345,0,0
Mike Puype,16,1,2,3,50157,0.06,0.38
Molly Pearson,4,0,0,0,1380,0,0
Neil Drysdale,10,1,0,3,61645,0.1,0.4
Neil French,1,0,0,0,345,0,0
Nestor Capitaine,2,0,0,1,2745,0,0.5
O Jauregui,3,0,0,0,9690,0,0
Oscar Garcia,2,0,0,0,690,0,0
Patricia Harrington,1,0,0,1,2400,0,1
Patrick Gallagher,11,1,2,0,106815,0.09,0.27
Paul Aguirre,3,0,0,1,4890,0,0.33
Paula Capestro,2,0,0,0,690,0,0
Paulo Lobo,1,0,0,0,345,0,0
Peter Eurton,14,1,2,3,85955,0.07,0.43
Peter Miller,44,13,5,2,616845,0.3,0.45
Philip Oviedo,1,0,0,0,400,0,0
Philip D'Amato,42,6,5,5,524088,0.14,0.38
Rafael Becerra,3,0,0,0,1890,0,0
Rafael DeLeon,5,0,0,0,5650,0,0
Reed Saldana,6,1,1,2,25345,0.17,0.67
Ricardo Zamora,1,0,0,0,1200,0,0
Richard Baltas,39,5,5,5,286355,0.13,0.38
Richard Mandella,12,2,2,0,114515,0.17,0.33
Richard Rosales,3,0,1,0,4690,0,0.33
Robert Bean,1,0,0,0,1240,0,0
Robert Hess,16,1,1,2,40804,0.06,0.25
Robert Lucas,1,0,0,0,345,0,0
Ronald McAnally,2,0,0,0,690,0,0
Ronald Ellis,3,0,0,0,7665,0,0
Ruben Gomez,5,0,0,0,4980,0,0
Ryan Hanson,4,0,1,1,9490,0,0.5
Sal Gonzalez,7,0,0,0,3325,0,0
Salvador Orozco,1,0,0,0,345,0,0
Santos Perez,1,0,0,0,345,0,0
Scott Hansen,3,0,0,1,4045,0,0.33
Scott Rollins,2,0,0,0,2145,0,0
Sean McCarthy,6,1,0,0,38925,0.17,0.17
Simon Callaghan,11,2,2,1,111165,0.18,0.45
Steve Knapp,13,1,2,1,29790,0.08,0.31
Steven Miyadi,7,1,0,1,20275,0.14,0.29
Thomas Proctor,4,1,0,2,55224,0.25,0.75
Thomas Bell,4,0,1,0,7035,0,0.25
Tim McCanna,9,1,2,1,77880,0.11,0.44
Tim Yakteen,7,0,1,1,17917,0,0.29
Todd W. Fincher,6,0,0,1,7080,0,0.17
Val Brinkerhoff,9,3,0,0,108015,0.33,0.33
Vann Belvoir,4,0,0,0,1435,0,0
Victor Garcia,8,1,0,1,25320,0.13,0.25
Victoria Oliver,3,0,1,0,16065,0,0.33
Vladimir Cerin,17,2,2,3,122669,0.12,0.41
Wesley Ward,2,0,0,0,2345,0,0
William Morey,15,5,1,2,199665,0.33,0.53
William Spawr,8,1,1,2,40252,0.13,0.5
J Vargas,2,0,0,0,745,0,0
